Festo Didactic LVDAM-ANT File 1.2
Antenna Type : Dipole (Lambda)

Description
Festo Didactic model :	9561
Op. Frequency :	915 MHz
Polarization :	Lin.
Connector Type :	SMA

Author : 
Comments : 

P - E - attenuation : 5
P - H - attenuation : 0

Angle	E	H
0	-2.692017	-30
1	-2.389099	-30
2	-2.431931	-30
3	-2.499813	-30
4	-2.551414	-30
5	-2.664326	-30
6	-2.627022	-30
7	-2.930424	-30
8	-2.955616	-30
9	-3.066456	-30
10	-3.235844	-30
11	-3.274128	-30
12	-3.386364	-30
13	-3.588055	-30
14	-3.814659	-30
15	-3.933769	-30
16	-4.083229	-30
17	-4.297337	-30
18	-4.501389	-30
19	-4.687206	-30
20	-4.923626	-30
21	-5.173386	-30
22	-5.405033	-30
23	-5.703938	-30
24	-6.041367	-30
25	-6.271118	-30
26	-6.57021	-30
27	-6.911499	-30
28	-7.298103	-30
29	-7.690937	-30
30	-8.122005	-30
31	-8.510147	-30
32	-8.943657	-30
33	-9.442299	-30
34	-9.841885	-30
35	-10.30302	-30
36	-10.81757	-30
37	-11.44212	-30
38	-12.15207	-30
39	-12.89705	-30
40	-13.5797	-30
41	-14.27706	-30
42	-15.07195	-30
43	-16.08074	-30
44	-17.0738	-30
45	-17.66856	-30
46	-18.78167	-30
47	-19.59793	-30
48	-21.47462	-30
49	-22.9411	-30
50	-24.04412	-30
51	-25.92044	-30
52	-26.79875	-30
53	-27.32086	-30
54	-26.79875	-30
55	-27.32086	-30
56	-27.32086	-30
57	-27.92065	-30
58	-27.92065	-30
59	-27.92065	-30
60	-26.33609	-30
61	-26.79875	-30
62	-26.33609	-30
63	-25.19699	-30
64	-25.54293	-30
65	-25.19699	-30
66	-25.19699	-30
67	-24.58101	-30
68	-25.19699	-30
69	-25.54293	-30
70	-24.58101	-30
71	-25.54293	-30
72	-24.87764	-30
73	-25.54293	-30
74	-25.54293	-30
75	-24.87764	-30
76	-24.87764	-30
77	-25.54293	-30
78	-24.87764	-30
79	-25.19699	-30
80	-25.19699	-30
81	-25.54293	-30
82	-25.54293	-30
83	-25.54293	-30
84	-25.19699	-30
85	-25.19699	-30
86	-24.58101	-30
87	-24.04412	-30
88	-24.04412	-30
89	-23.79934	-30
90	-23.56797	-30
91	-23.56797	-30
92	-23.34857	-30
93	-22.9411	-30
94	-22.56918	-30
95	-22.39469	-30
96	-22.22702	-30
97	-22.06565	-30
98	-21.76002	-30
99	-21.76002	-30
100	-21.91013	-30
101	-21.91013	-30
102	-21.47462	-30
103	-21.47462	-30
104	-21.47462	-30
105	-21.3387	-30
106	-21.3387	-30
107	-21.47462	-30
108	-21.61496	-30
109	-21.20691	-30
110	-21.76002	-30
111	-21.47462	-30
112	-21.3387	-30
113	-21.76002	-30
114	-22.06565	-30
115	-22.06565	-30
116	-22.22702	-30
117	-22.56918	-30
118	-22.75109	-30
119	-22.75109	-30
120	-23.34857	-30
121	-23.56797	-30
122	-23.79934	-30
123	-24.04412	-30
124	-24.30399	-30
125	-24.58101	-30
126	-24.87764	-30
127	-25.19699	-30
128	-25.19699	-30
129	-25.54293	-30
130	-25.54293	-30
131	-25.54293	-30
132	-25.19699	-30
133	-24.58101	-30
134	-24.58101	-30
135	-24.58101	-30
136	-24.30399	-30
137	-23.79934	-30
138	-23.56797	-30
139	-23.13996	-30
140	-22.9411	-30
141	-22.75109	-30
142	-22.9411	-30
143	-22.56918	-30
144	-22.06565	-30
145	-21.91013	-30
146	-21.61496	-30
147	-21.07901	-30
148	-21.20691	-30
149	-21.20691	-30
150	-20.83401	-30
151	-20.71651	-30
152	-20.49062	-30
153	-20.49062	-30
154	-20.6021	-30
155	-20.71651	-30
156	-20.83401	-30
157	-20.83401	-30
158	-20.95478	-30
159	-21.3387	-30
160	-21.20691	-30
161	-21.47462	-30
162	-21.3387	-30
163	-21.07901	-30
164	-20.83401	-30
165	-20.49062	-30
166	-20.83401	-30
167	-20.49062	-30
168	-20.27587	-30
169	-20.07121	-30
170	-19.78114	-30
171	-19.78114	-30
172	-19.42208	-30
173	-18.93324	-30
174	-18.63516	-30
175	-18.56369	-30
176	-18.15764	-30
177	-17.84568	-30
178	-17.61106	-30
179	-17.33428	-30
180	-17.02349	-30
181	-16.78018	-30
182	-16.59471	-30
183	-16.24554	-30
184	-15.80628	-30
185	-15.51206	-30
186	-15.20279	-30
187	-14.88264	-30
188	-14.64213	-30
189	-14.33131	-30
190	-13.93967	-30
191	-13.67288	-30
192	-13.53382	-30
193	-13.39898	-30
194	-13.09936	-30
195	-12.99706	-30
196	-12.72251	-30
197	-12.53628	-30
198	-12.30526	-30
199	-12.16883	-30
200	-12.02018	-30
201	-11.93969	-30
202	-11.8294	-30
203	-11.70661	-30
204	-11.63155	-30
205	-11.55774	-30
206	-11.52855	-30
207	-11.49955	-30
208	-11.51403	-30
209	-11.52855	-30
210	-11.55774	-30
211	-11.61669	-30
212	-11.72178	-30
213	-11.79839	-30
214	-11.92377	-30
